ID_BAT,CODE_COM,NOM_COM,NOM_EPCI,NOM_BATI,ADRESSE,X,Y,SURFACE,RENOVATION,TYPE,ANNEE,Consommation en électricité,Consommation en gaz naturel,Consommation en gaz citerne,Consommation en fioul,Consommation en chaleur,Consommation en bois,Consommation en ENR,Dépense en électricité,Dépense en gaz naturel,Dépense en gaz citerne,Dépense en fioul,Dépense en chaleur,Dépense en bois,Dépense en ENR
7,35001,Acigné,Rennes Métropole,Complexe sportif du Chèvre + Multi-accueil Chrysalide,Rue Saint-Exupéry,-1.5398980488206235,48.135969238468604,3320,Oui,Sportif,2014,68038,92905,,,,30532,,11185,5083,,,,1933,
7,35001,Acigné,Rennes Métropole,Complexe sportif du Chèvre + Multi-accueil Chrysalide,Rue Saint-Exupéry,-1.5398980488206235,48.135969238468604,3320,Oui,Sportif,2015,78101,102355,,,,31371,,12046,5679,,,,1919,
7,35001,Acigné,Rennes Métropole,Complexe sportif du Chèvre + Multi-accueil Chrysalide,Rue Saint-Exupéry,-1.5398980488206235,48.135969238468604,3320,Oui,Sportif,2016,86515,111623,,,,23557,,12274,5759,,,,1535,
7,35001,Acigné,Rennes Métropole,Complexe sportif du Chèvre + Multi-accueil Chrysalide,Rue Saint-Exupéry,-1.5398980488206235,48.135969238468604,3320,Oui,Sportif,2017,66283,111883,,,,27883,,10075,5931,,,,1640,
7,35001,Acigné,Rennes Métropole,Complexe sportif du Chèvre + Multi-accueil Chrysalide,Rue Saint-Exupéry,-1.5398980488206235,48.135969238468604,3320,Oui,Sportif,2018,53659,168404,,,,32826,,8798,8430,,,,1970,
7,35001,Acigné,Rennes Métropole,Complexe sportif du Chèvre + Multi-accueil Chrysalide,Rue Saint-Exupéry,-1.5398980488206235,48.135969238468604,3320,Oui,Sportif,2019,56567,119681,,,,26890,,9506,6989,,,,1660,
7,35001,Acigné,Rennes Métropole,Complexe sportif du Chèvre + Multi-accueil Chrysalide,Rue Saint-Exupéry,-1.5398980488206235,48.135969238468604,3320,Oui,Sportif,2020,49355,104157,,,,47088,,9076,6406,,,,2563,
7,35001,Acigné,Rennes Métropole,Complexe sportif du Chèvre + Multi-accueil Chrysalide,Rue Saint-Exupéry,-1.5398980488206235,48.135969238468604,3320,Oui,Sportif,2021,49005,105731,,,,25479,,8998,7147,,,,1661,
8,35001,Acigné,Rennes Métropole,Centre technique municipal,11 Joval,-1.5178307977041148,48.13504624414585,1600,Non,Administratif,2006,11316,110286,,,,,,2700,6611,,,,,
8,35001,Acigné,Rennes Métropole,Centre technique municipal,11 Joval,-1.5178307977041148,48.13504624414585,1600,Non,Administratif,2007,9407,86523,,,,,,2527,4119,,,,,
8,35001,Acigné,Rennes Métropole,Centre technique municipal,11 Joval,-1.5178307977041148,48.13504624414585,1600,Non,Administratif,2008,12794,59141,,,,,,2737,3415,,,,,
8,35001,Acigné,Rennes Métropole,Centre technique municipal,11 Joval,-1.5178307977041148,48.13504624414585,1600,Non,Administratif,2009,7992,56713,,,,,,2782,3545,,,,,
8,35001,Acigné,Rennes Métropole,Centre technique municipal,11 Joval,-1.5178307977041148,48.13504624414585,1600,Non,Administratif,2010,8453,70279,,,,,,3396,4145,,,,,
8,35001,Acigné,Rennes Métropole,Centre technique municipal,11 Joval,-1.5178307977041148,48.13504624414585,1600,Non,Administratif,2011,10110,78861,,,,,,3898,5355,,,,,
8,35001,Acigné,Rennes Métropole,Centre technique municipal,11 Joval,-1.5178307977041148,48.13504624414585,1600,Non,Administratif,2012,8711,63364,,,,,,2601,4867,,,,,
8,35001,Acigné,Rennes Métropole,Centre technique municipal,11 Joval,-1.5178307977041148,48.13504624414585,1600,Non,Administratif,2013,8818,61335,,,,,,1399,5625,,,,,
8,35001,Acigné,Rennes Métropole,Centre technique municipal,11 Joval,-1.5178307977041148,48.13504624414585,1600,Non,Administratif,2014,8608,75505,,,,,,1479,4737,,,,,
8,35001,Acigné,Rennes Métropole,Centre technique municipal,11 Joval,-1.5178307977041148,48.13504624414585,1600,Non,Administratif,2015,9722,74854,,,,,,1704,5174,,,,,
8,35001,Acigné,Rennes Métropole,Centre technique municipal,11 Joval,-1.5178307977041148,48.13504624414585,1600,Non,Administratif,2016,14208,87778,,,,,,2287,5759,,,,,
